A	adjective
V.FPPNSN	verb, Fut Pass Part Nom Sing Neut
V.FPS2S	verb, Fut Pass Subj 2nd Sing
V.FPS3P	verb, Fut Pass Subj 3rd Plur
V.IAI1P	verb, Imperf Act Ind 1st Plur
V.IAI1S	verb, Imperf Act Ind 1st Sing
V.IAI2P	verb, Imperf Act Ind 2nd Plur
V.IAI2S	verb, Imperf Act Ind 2nd Sing
V.IAI3P	verb, Imperf Act Ind 3rd Plur
V.IAI3S	verb, Imperf Act Ind 3rd Sing
V.IAS2P	verb, Imperf Act Subj 2nd Plur
V.IAS2S	verb, Imperf Act Subj 2nd Sing
V.IMI1P	verb, Imperf Mid Ind 1st Plur
V.IMI1S	verb, Imperf Mid Ind 1st Sing
V.IMI2P	verb, Imperf Mid Ind 2nd Plur
V.IMI2S	verb, Imperf Mid Ind 2nd Sing
V.IMI3P	verb, Imperf Mid Ind 3rd Plur
V.IMI3S	verb, Imperf Mid Ind 3rd Sing
V.IPI3P	verb, Imperf Pass Ind 3rd Plur
V.IPI3S	verb, Imperf Pass Ind 3rd Sing
V.PAD2P	verb, Pres Act Imperative 2nd Plur
V.PAD2S	verb, Pres Act Imperative 2nd Sing
V.PAD3P	verb, Pres Act Imperative 3rd Plur
V.PAD3S	verb, Pres Act Imperative 3rd Sing
V.PAI	verb, Pres Act Ind
V.PAI1P	verb, Pres Act Ind 1st Plur
V.PAI1S	verb, Pres Act Ind 1st Sing
V.PAI2P	verb, Pres Act Ind 2nd Plur
V.PAI2S	verb, Pres Act Ind 2nd Sing
V.PAI3P	verb, Pres Act Ind 3rd Plur
V.PAI3S	verb, Pres Act Ind 3rd Sing
